ko	og	count
K12888	778148at2759	38
K22638		
K13451		
K02433	1195292at2759	23
K02433	447457at2759	14
K24706		
K07887	1277051at2759	56
K07887	1340129at2759	165
K09877	1152704at2759	228
K09877	1246320at2759	42
K17828		
K10226	1060606at2759	50
K25031		
K00940	1018973at2759	1
K00940	1230088at2759	14
K00940	1269591at2759	13
K00940	1320429at2759	1
K00940	1334716at2759	62
K00940	1395365at2759	12
K13499	1407357at2759	61
K13499	389974at2759	21
K13499	442283at2759	24
K13499	697641at2759	16
K13499	744884at2759	35
K13499	758579at2759	22
K06497	1051357at2759	43
K06497	1145558at2759	29
K06497	1205716at2759	40
K06497	1224210at2759	36
K06497	1275146at2759	4
K06497	1406905at2759	25
K06497	1467737at2759	20
K06497	1470436at2759	18
K06497	1488824at2759	1
K06497	1539666at2759	1
K05555		
K04618	382481at2759	34
K01349	308083at2759	19
K01349	473018at2759	62
K01349	518530at2759	25
K01349	921536at2759	27
K20985	1190789at2759	39
K11272	277082at2759	2
K11272	986439at2759	1
K11780		
K08893	539311at2759	129
K08893	967682at2759	2
K00502	614557at2759	57
K00502	940057at2759	79
K06495	445079at2759	22
K06760	655902at2759	55
K20440		
K08343	1078144at2759	1
K08343	1432328at2759	24
K18026	411281at2759	407
K15058		
K23384		
K15986		
K19082		
K15245		
K21895		
K12574		
K04383	1513671at2759	4
K17003		
K25021		
K06230	1318335at2759	5223
K06230	56870at2759	18
K18447	957911at2759	5
K12697		
K21502		
K10963		
K04746	1246608at2759	68
K04746	1318335at2759	5223
K03198		
K21084		
K09671	1246608at2759	68
K00914	1147978at2759	57
K00914	204282at2759	97
K00914	26975at2759	55
K18335		
K02360	180656at2759	1
K23362		
K09837	1247045at2759	377
K09837	467733at2759	159
K25204		
K21058		
K01980		
K07808	712400at2759	73
K20553	685597at2759	49
K00715	1037602at2759	221
K12774	1620826at2759	1
K14576		
K09789		
K16173		
K12698		
K09709		
K14221		
K01705	265826at2759	13
K02514	1167623at2759	35
K10216		
K11255	59971at2759	25
K17126		
K04712	1065556at2759	33
K04712	1255438at2759	33
K20079		
K18354		
K05864	1403619at2759	197
K16974		
K08845	243095at2759	37
K08845	799740at2759	31
K09664	1037602at2759	221
K19349		
K23279		
K03909	1009074at2759	20
K03909	1049829at2759	55
K03909	1090505at2759	8
K03909	1282068at2759	6
K03909	1291939at2759	3
K03909	1474897at2759	14
K03909	1564520at2759	13
K03909	1575592at2759	1
K03909	1631923at2759	37
K03909	442372at2759	1
K03909	687721at2759	10
K19517	1230087at2759	7
K00488	1381608at2759	1
K00488	481145at2759	24
K00488	508351at2759	46
K00488	574756at2759	54
K00488	702827at2759	1009
K00488	871849at2759	98
K02073		
K16162		
K23141		
K07763	1075463at2759	248
K07763	858478at2759	34
K01941	254436at2759	59
K01856		
K12909		
K20333		
K08773	1593918at2759	93
K08773	209269at2759	13
K08773	514124at2759	12
K08773	625432at2759	3
K13532		
K11481	954262at2759	90
K03367		
K02954	1295007at2759	4
K02954	1612572at2759	20
K25018		
K14034	1137281at2759	30
K14034	297114at2759	36
K08055	1556447at2759	11
K08760	1299087at2759	13
K08760	1314660at2759	7
K08760	1553412at2759	10
K08760	813395at2759	6
K08760	947758at2759	1
K11583	1119300at2759	1
K11583	1149041at2759	1
K11583	148221at2759	1
K11583	255081at2759	36
K11583	541286at2759	21
K11583	811536at2759	3
K06645	1423329at2759	37
K08537	1137281at2759	30
K16016		
K25488		
K02841		
K22435		
K03740		
K19745		
K04375	1319205at2759	2
K04375	981551at2759	25
K21949		
K15856		
K20438		
K12572	1515085at2759	17
K12572	1644351at2759	1
K19260		
K19518	1362510at2759	35
K01370	1327703at2759	22
K01370	1534275at2759	1
K17899		
K14376	1106156at2759	49
K14376	326577at2759	53
K18964		
K04002	1058295at2759	16
K04002	1212292at2759	2
K04002	165691at2759	7
K01858	451916at2759	28
K24312		
K14750		
K20775	554207at2759	8
K08064	1213009at2759	13
K08064	1269806at2759	13
K08064	1280776at2759	10
K08064	1283928at2759	1
K08064	1411373at2759	6
K08064	1468114at2759	1
K08064	1494797at2759	3
K08064	581631at2759	9
K08064	931258at2759	4
K21672		
K05060		
K20464	1487815at2759	24
K20464	949920at2759	68
K02256	1214989at2759	22
K02256	728231at2759	17
K24252		
K10577	1268760at2759	1
K10577	1522509at2759	34
K10577	1522577at2759	30
K10577	392001at2759	57
K23468		
K10678		
K12837	1408896at2759	2
K12837	142810at2759	2
K12837	1430110at2759	38
K12837	1455080at2759	31
K12837	1484811at2759	19
K12837	1490376at2759	8
K12837	683074at2759	30
K12837	896650at2759	36
K07141		
K06013		
K02035		
K10613	469819at2759	99
K19599	531217at2759	1
K19599	63696at2759	1
K19599	80146at2759	6
K01908	288915at2759	57
K01908	4243at2759	21
K01908	899666at2759	24
K12610	1509316at2759	25
K00858	1263874at2759	38
K00858	1416565at2759	15
K00858	1539111at2759	46
K00858	583605at2759	1038
K00486	1519546at2759	17
K00486	462247at2759	70
K13383		
K21998	1331287at2759	9
K01627	1374314at2759	4
K13522		
K10814		
K02568	1406711at2759	30
K24136		
K25074		
K12392	323029at2759	88
K11240	1123995at2759	2
K11240	823661at2759	3
K17865	1326407at2759	10
K03956	1456214at2759	26
K13441	1275401at2759	343
K03231	1150082at2759	117
K03231	1769253at2759	1
K03231	571919at2759	151
K03231	682656at2759	41
K03231	775799at2759	62
K25693		
K16172	125919at2759	1
K16172	187805at2759	1
K16172	298675at2759	32
K16172	469339at2759	2
K16172	90248at2759	2
K05106	933071at2759	161
K10890	1546359at2759	10
K09654	640360at2759	67
K19767	1187096at2759	203
K01195	653343at2759	32
K12379	1318335at2759	5223
K12379	1591573at2759	22
K12379	629102at2759	19
K24443		
K07987	1092787at2759	23
K08328	1271942at2759	285
K08328	1424914at2759	31
K10745	1542008at2759	19
K10745	629545at2759	79
K22949		
K02567		
K07989	1417830at2759	21
K14937	702827at2759	1009
K19617		
K00176		
K04352	145372at2759	60
K04352	717547at2759	31
K02782	23785at2759	25
K02496		
K05649	131191at2759	165
K04443	843707at2759	34
K20959		
K22831		
K16054	1062330at2759	16
K16054	1475361at2759	16
K16054	436252at2759	4
K01781		
K08143	326501at2759	188
K08143	336651at2759	7
K08143	430696at2759	343
K08143	464838at2759	98
K08143	749998at2759	64
K13080		
K04504		
K23933		
K12154	702827at2759	1009
K01019	1385827at2759	70
K03018	591636at2759	64
K06777	220353at2759	35
K06777	411281at2759	407
K10223	1321777at2759	39
K10223	1493916at2759	58
K12643		
K20114		
K05009	956263at2759	156
K02609	1470794at2759	97
K03750	1114121at2759	25
K03750	666263at2759	2
K24564		
K20231	1153633at2759	29
K25276		
K02921	1094121at2759	21
K02921	1621758at2759	35
K12829	1275099at2759	22
K10948		
K05857	1277586at2759	16
K05857	368239at2759	200
K23459		
K11228	1290401at2759	185
K04784		
K02089	988547at2759	20
K13308		
K10157	901158at2759	83
K05483	1410755at2759	16
K22802		
K06538	1222373at2759	17
K10351	1435392at2759	135
K17633	145372at2759	60
K17633	69536at2759	43
K01591	1303452at2759	24
K11433	1553369at2759	215
K11433	753093at2759	74
K19189		
K11951		
K15876		
K05410	563981at2759	22
K05410	689014at2759	8
K09815		
K13234		
K01578	1436590at2759	16
K15849	683031at2759	58
K10875	100510at2759	1
K10875	142408at2759	1
K10875	289049at2759	8
K10875	311076at2759	1
K10875	372069at2759	50
K10875	64362at2759	7
K10875	93727at2759	42
K02490		
K11156	1347007at2759	79
K04533	1318335at2759	5223
K04533	33894at2759	13
K04579	1005634at2759	24
K04579	1163977at2759	25
K04579	1476889at2759	129
K04579	651627at2759	117
K04579	956517at2759	5
K04272	925903at2759	9
K23190		
K03202	1645809at2759	1
K03202	1811957at2759	1
K00918		
K18775		
K13332		
K08096		
K23670		
K20700	745047at2759	18
K00254	1194348at2759	27
K05855	796831at2759	24
K23126		
K11962		
K10365	1076134at2759	19
K17129		
K19642	1016440at2759	178
K06859		
K01897	167817at2759	3
K01897	293865at2759	40
K01897	298283at2759	50
K01897	312083at2759	44
K01897	330201at2759	35
K01897	348917at2759	1
K01897	386992at2759	45
K01897	630541at2759	78
K01897	683933at2759	121
K01897	793821at2759	3
K01897	806831at2759	32
K00109	1310154at2759	19
K03955	1473625at2759	56
K03955	1616611at2759	2
K21213		
K19858		
K02309	615385at2759	23
K06845	236390at2759	15
K13711	1273723at2759	59
K13711	289695at2759	1
K21774	1278998at2759	10
K21774	312533at2759	5
K07756	1102768at2759	26
K07756	1285351at2759	17
K07756	902814at2759	40
K01841	1003512at2759	18
K02831	1510589at2759	71
K02831	825025at2759	62
K14385	1180002at2759	49
K05184	480926at2759	81
K05575	996580at2759	19
K18674	1196330at2759	18
K18674	710785at2759	28
K18674	860024at2759	35
K09971		
K21769	1307770at2759	4
K21769	1499244at2759	539
K21769	219341at2759	41
K21769	568550at2759	4
K21769	714675at2759	1
K15985	1468806at2759	2
K15985	1648219at2759	16
K22268		
K13500		
K16842		
K19660		
K00886		
K01643		
K00411	1174160at2759	25
K00411	633642at2759	52
K21727		
K01011	1478958at2759	62
K01011	1553525at2759	43
K08478		
K05202	188544at2759	473
K11648	1194599at2759	2
K11648	1286941at2759	10
K11648	1555754at2759	1
K11648	790205at2759	15
K00939	1004067at2759	79
K00939	1114442at2759	15
K00939	1282076at2759	125
K00939	1378291at2759	66
K00939	1617156at2759	18
K00939	264854at2759	14
K00939	362962at2759	11
K00939	38948at2759	20
K00939	572856at2759	16
K00939	898721at2759	1
K00939	961384at2759	14
K01139		
K17917	1007850at2759	15
K17917	255174at2759	2
K17917	632390at2759	21
K17917	947320at2759	74
K17917	990775at2759	14
K01837	1112626at2759	59
K05098	236292at2759	90
K04232	1042780at2759	26
K04232	1294084at2759	50
K09236	106971at2759	29
K09236	967773at2759	3
K15789	1327602at2759	20
K02657		
K10700		
K07294	1240230at2759	46
K02880	1362349at2759	42
K00515	524712at2759	60
K00515	895046at2759	35
K19286		
K01768	172467at2759	85
K01768	22115at2759	1
K01768	363718at2759	35
K01768	67214at2759	1
K01768	992188at2759	26
K01865		
K17112		
K20254	1392523at2759	2
K20254	71918at2759	4
K09292	1379054at2759	12
K09292	1428791at2759	2
K00800	39786at2759	6
K00800	692572at2759	5
K03779		
K12696		
K14372		
K02313		
K02712	1631304at2759	4
K10439		
K13298	904682at2759	363
K22787		
K02959	1416483at2759	27
K02959	1551986at2759	3
K02959	1630052at2759	20
K15573		
K07698		
K24669		
K00657	1228251at2759	44
K00657	1279734at2759	9
K00657	1370439at2759	46
K00657	684058at2759	89
K18509		
K14313	1022149at2759	1
K14313	1163548at2759	13
K14313	1194625at2759	2
K14313	1385942at2759	2
K14313	1463247at2759	1
K14313	1564104at2759	31
K14978		
K00511	583514at2759	23
K00511	972606at2759	9
K07538		
K05515		
K14462	487693at2759	14
K14462	5350at2759	17
K06674	119789at2759	43
K04200	968418at2759	17
K04200	988552at2759	8
K16320		
K20260		
K14156	1469912at2759	43
K14156	349250at2759	27
K17052		
K07788		
K13068	508327at2759	727
K12877	1214816at2759	4
K12877	1373136at2759	25
K22336		
K05665	138195at2759	268
K05665	248727at2759	50
K05665	957396at2759	4
K25019		
K07543		
K12669	1460433at2759	32
K22552		
K00104		
K11638		
K03276		
K22274		
K20400	303571at2759	23
K00193		
K14548	376282at2759	30
K14548	445796at2759	1
K25256		
K09354	1270742at2759	76
K00761	1505630at2759	7
K00761	929897at2759	83
K09508	1472647at2759	16
K06742	1353219at2759	2
K24343		
K20337		
K20210	1318335at2759	5223
K10693	215263at2759	17
K10693	982289at2759	1
K02390		
K18780		
K19396		
K17042		
K07792		
K02905	1200503at2759	28
K02905	1608986at2759	26
K04194		
K09817		
K23143		
K10622		
K00494		
K11231	27870at2759	62
K11231	916876at2759	250
K04437	1002372at2759	1
K04437	239902at2759	4
K04437	274at2759	1
K04437	35998at2759	44
K04437	829777at2759	110
K09699	854035at2759	22
K19647		
K05432	1444257at2759	5
K05432	1487989at2759	1
K02396	470054at2759	36
K00374		
K12356	508327at2759	727
K07466	1177834at2759	1
K07466	1189265at2759	125
K07466	1342503at2759	2
K07466	1386188at2759	20
K07466	259980at2759	7
K07466	537563at2759	931
K07466	673027at2759	41
K07466	931726at2759	100
K07466	999269at2759	408
K18372		
K12929	360509at2759	66
K14641	1337265at2759	127
K14641	1447410at2759	1
K06630	1176818at2759	155
K06630	1548094at2759	341
K06630	777540at2759	93
K18341	323342at2759	25
K18341	976276at2759	93
K06457	1083212at2759	8
K06457	1351120at2759	2
K06457	939906at2759	1
K03434	1454301at2759	24
K03434	649708at2759	333
K20331		
K10020		
K08641		
K04322	1166522at2759	1
K04322	791328at2759	10
K04322	908482at2759	1
K04322	994073at2759	24
K08340	1616621at2759	3
K10929		
K00116	1310154at2759	19
K04790		
K14302	355941at2759	10
K14302	921692at2759	11
K02646	1014909at2759	30
K02646	603461at2759	18
K06123	1252687at2759	5
K06123	1313182at2759	101
K06123	175854at2759	8
K06123	897995at2759	1
K18723	1243599at2759	7
K18723	1325028at2759	5
K18723	379050at2759	10
K18723	843278at2759	1
K09753	848823at2759	79
K09753	930591at2759	112
K09753	992332at2759	142
K00192		
K05493	1298853at2759	32
K20692		
K10414	115856at2759	2
K10414	16667at2759	3
K10414	26380at2759	36
K07364	1047190at2759	43
K07364	1077757at2759	1
K07364	226713at2759	4
K07364	539311at2759	129
K07364	933071at2759	161
K03219		
K12804	321438at2759	3
K12804	727724at2759	58
K08043	154265at2759	12
K18397		
K04157	561930at2759	1
K04157	962038at2759	36
K00506	518234at2759	31
K00506	881347at2759	50
K00506	940057at2759	79
K16009		
K14041		
K03880	1605459at2759	21
K16026		
K18423	1248958at2759	22
K17001		
K10038		
K01754	906802at2759	28
K01754	943371at2759	16
K02692	1022017at2759	214
K02692	1477247at2759	6
K17073		
K25521		
K21109	531106at2759	44
K04361	1375185at2759	3
K04361	81952at2759	46
K04361	982135at2759	7
K18826		
K13075		
K06249	821140at2759	2
K06249	9177at2759	12
K23345		
K03992	156878at2759	41
K03992	267332at2759	15
K11260		
K18603		
K16044		
K12187	1597494at2759	1
K15641		
K01596		
K25617		
K02678	526256at2759	39
K23937		
K09722		
K21002		
K01335	172139at2759	21
K15845		
K22842		
K12822	1036130at2759	23
K12822	276151at2759	10
K12822	677630at2759	5
K12822	885027at2759	17
K22982		
K12673		
K21855		
K00412	1125966at2759	27
K17645	1247045at2759	377
K02729	1222564at2759	186
K02729	683132at2759	49
K09661	179031at2759	22
K09661	701497at2759	1
K17231	1524590at2759	14
K17231	887662at2759	1
K18941		
K10702		
K18013		
K22363		
K13792		
K05150	1441661at2759	7
K02502		
K00272	1363414at2759	34
K05661	248727at2759	50
K15156	1215335at2759	17
K15156	30000at2759	4
K12886	394765at2759	31
K08218		
K11214	1027013at2759	11
K20515		
K16841		
K21294	825914at2759	133
K21819		
K19285		
K04448	1090460at2759	32
K04448	138168at2759	111
K05678	1363001at2759	16
K05678	248727at2759	50
K05678	309052at2759	68
K02871	1119705at2759	28
K02871	1801601at2759	1
K02871	906540at2759	16
K02871	91762at2759	5
K08109	1097767at2759	23
K16595	1575018at2759	95
K16595	1594204at2759	5
K11540	1404554at2759	22
K11540	273358at2759	34
K11540	566537at2759	9
K11540	719800at2759	102
K12891	1314688at2759	6
K12891	1423983at2759	9
K12891	1466776at2759	1
K12891	1524134at2759	87
K12891	1533297at2759	67
K12891	1579773at2759	127
K12891	1614984at2759	1
K12891	780532at2759	24
K12891	883624at2759	41
K08372		
K15751		
K11603		
K17614	103710at2759	6
K17614	1576308at2759	317
K05431		
K00881		
K00705	302364at2759	8
K00705	589046at2759	10
K06574	1194550at2759	6
K15013	127131at2759	2
K15013	293865at2759	40
K15013	298283at2759	50
K15013	405736at2759	231
K15013	683933at2759	121
K15013	806831at2759	32
K16420		
K01367	1330600at2759	90
K01367	704215at2759	169
K20374		
K10744	1092212at2759	21
K20972		
K14630		
K01252		
K15179	1011916at2759	10
K15179	241476at2759	1
K11640		
K08338	1600752at2759	1
K04299	784055at2759	15
K04299	945340at2759	2
K25008		
K10980	1397591at2759	9
K10046	1327602at2759	20
K10046	321515at2759	1
K10046	662484at2759	76
K03582		
K02277		
K21103		
K01539	100699at2759	103
K01539	1340643at2759	1
K01539	388324at2759	63
K01539	649559at2759	66
K00817	693202at2759	8
K12629		
K10760	1003231at2759	45
K10760	1062075at2759	62
K10760	1578647at2759	1
K02865	1172076at2759	39
K02865	1406384at2759	4
K02865	821144at2759	11
K10222		
K20085		
K11303	708105at2759	22
K00791	1003231at2759	45
K25832		
K06473	850159at2759	2
K06473	920897at2759	10
K12448	1327602at2759	20
K12448	662484at2759	76
K12448	981787at2759	80
K05396	1290702at2759	14
K05396	1344243at2759	1425
K05396	730428at2759	5
K05396	817780at2759	8
K04287	1258797at2759	9
K04287	732872at2759	31
K04287	826997at2759	952
K04287	876979at2759	277
K04287	907115at2759	47
K12469	377342at2759	60
K21896		
K12451	848823at2759	79
K00483		
K20674	267332at2759	15
K25563		
K04388	426838at2759	16
K13598		
K14572	138219at2759	20
K14572	1422450at2759	29
K14572	871671at2759	2
K14572	88545at2759	1
K13529		
K00904	1505356at2759	37
K23131		
K01064	866763at2759	21
K12826	1320891at2759	20
K04677	395665at2759	22
K04677	717950at2759	1
K03985	1102918at2759	24
K03985	1380913at2759	2
K03985	1485195at2759	74
K03144	466731at2759	21
K16056	1099530at2759	2
K16056	1197243at2759	24
K16056	959703at2759	1
K22389	1399121at2759	3
K22389	828056at2759	63
K04402	1517160at2759	26
K04402	922977at2759	1
K02544	1053181at2759	21
K17069	572061at2759	52
K04516		
K19550		
K04851	15245at2759	1
K04851	172471at2759	248
K16051		
K07899	1172019at2759	76
K07899	1579101at2759	52
K08738	1533604at2759	40
K08906	1253356at2759	3
K08906	1455502at2759	2
K08906	1471374at2759	20
K00933	825025at2759	62
K00885		
K11636		
K18896		
K08685		
K22945		
K10572	1195478at2759	26
K05343		
K17721	702827at2759	1009
K19054	1372185at2759	18
K19054	1415910at2759	1
K22676		
K03921	608188at2759	27
K09480	267109at2759	7
K09480	972633at2759	6
K12108		
K17841	303188at2759	1
K16845		
K15926		
K10192		
K22065	360509at2759	66
K01725	1486663at2759	6
K03002	1582212at2759	1
K03002	42570at2759	73
K05737	349344at2759	21
K04056		
K03228	182823at2759	21
K25145		
K10794		
K18582		
K11329		
K02455		
K00694	208080at2759	1
K00694	679241at2759	85
K11234	1438589at2759	2
K07658		
K10427	1270774at2759	41
K12413	1329081at2759	1
K02375	1476889at2759	129
K02375	509772at2759	67
K00006	476066at2759	51
K00448		
K06267	604725at2759	12
K08861	507604at2759	95
K07780		
K06632	1063695at2759	39
K06632	695457at2759	5
K12077	1242599at2759	68
K07142		
K12496	1318335at2759	5223
K12496	695211at2759	25
K11957		
K18594		
K08753	1417203at2759	81
K05206	122304at2759	27
K05206	188544at2759	473
K22849		
K10139	1124079at2759	400
K14234		
K02690	209831at2759	8
K00318	948528at2759	39
K21726		
K03100	1211147at2759	60
K09578	1437969at2759	25
K20986	1602447at2759	44
K10788	276568at2759	86
K09278	1130963at2759	5
K09278	562214at2759	27
K09278	702780at2759	1
K06562	1105518at2759	3
K06562	1124187at2759	2
K06562	1440018at2759	1
K06562	829830at2759	4
K13779		
K22012		
K07680		
K02724	1627093at2759	4
K00325		
K05204	188544at2759	473
K24257		
K05246	1586513at2759	9
K02002		
K00868	1060533at2759	7
K00868	1091630at2759	22
K02422	702827at2759	1009
K03118	1204533at2759	5
K04278	822074at2759	22
K16965		
K05878		
K02840		
K18953	101142at2759	137
K14729	1053465at2759	53
K14729	1120431at2759	37
K14729	1194344at2759	108
K14729	1226147at2759	59
K14729	1313182at2759	101
K01753		
K05402	1219350at2759	13
K05908		
K14454	1104596at2759	66
K14454	948528at2759	39
K15237		
K07237		
K02354	330751at2759	49
K02354	509772at2759	67
K05370		
K14411	1055256at2759	18
K14411	1066369at2759	37
K14411	1104126at2759	1
K14411	1192038at2759	1
K14411	1202220at2759	138
K14411	1306756at2759	1
K14411	1315388at2759	55
K14411	1425837at2759	18
K14411	1428854at2759	22
K14411	1442049at2759	6
K14411	1484092at2759	20
K14411	1565323at2759	98
K14411	1579773at2759	127
K14411	1610446at2759	26
K14411	445720at2759	1
K14411	614259at2759	37
K14411	673895at2759	15
K14411	714139at2759	3
K14411	734274at2759	1
K14411	786674at2759	42
K14411	892160at2759	1
K20808		
K18067		
K15495		
K14719		
K04273		
K11138		
K03043		
K22957		
K03472		
K20951		
K01876	677307at2759	26
K01876	697974at2759	18
K00415	1000258at2759	22
K20594		
K18092		
K04990		
K00768		
K15730	1461729at2759	42
K03176	295510at2759	29
K18491	1270742at2759	76
K18491	1351285at2759	11
K18491	1514681at2759	2
K16956		
K16835	1242894at2759	57
K16835	484128at2759	6
K12309	179316at2759	94
K10006		
K13645	194164at2759	30
K01889	1115196at2759	22
K01889	733355at2759	21
K19207		
K06644	1176818at2759	155
K00921	227882at2759	56
K01696	591064at2759	14
K01715		
K10140	559605at2759	13
K10140	753973at2759	20
K07643		
K11974	1140368at2759	96
K11974	1188714at2759	104
K11974	1435538at2759	39
K11974	6989at2759	2
K08862	1337697at2759	2
K08862	507604at2759	95
K01637	358540at2759	11
K01637	905115at2759	11
K01947	858478at2759	34
K19819		
K03602		
K21189		
K16223	1557122at2759	110
K23004		
K21773	132154at2759	11
K21773	622946at2759	12
K21773	730948at2759	1
K16435		
K14632		
K08846	144606at2759	9
K08846	436531at2759	11
K08846	676477at2759	5
K08846	938929at2759	57
K24476		
K16674	1414662at2759	10
K21218		
K02894	1374830at2759	39
K25321		
K10807	156716at2759	29
K15320	1014523at2759	37
K15320	19161at2759	53
K04351	143470at2759	58
K04557	845354at2759	167
K16222	853832at2759	10
K06531	1014781at2759	5
K06531	1087343at2759	8
K06531	426820at2759	2
K20954		
K04993	1379516at2759	44
K02231		
K12962		
K04567	1094753at2759	4
K04567	1510544at2759	43
K04567	1536051at2759	12
K04567	333013at2759	25
K04567	837479at2759	30
K01320	1314811at2759	1072
K11025		
K18676		
K01968	1551107at2759	20
K01968	156081at2759	45
K01968	254436at2759	59
K04150	550297at2759	55
K04150	750855at2759	40
K04150	929700at2759	11
K01621	159719at2759	3
K05585		
K07545		
K19850	1108013at2759	2
K19850	1614814at2759	1
K14556	1112002at2759	25
K14556	459903at2759	21
K14556	960224at2759	22
K03594		
K04291		
K22630		
K08589		
K13567	776697at2759	77
K22627		
K04215	1011272at2759	129
K04215	971778at2759	16
K04215	981486at2759	38
K20898	1027269at2759	151
K05242	1548839at2759	14
K25014		
K12302	1000463at2759	13
K12302	1146947at2759	9
K12302	1371520at2759	58
K12302	497052at2759	140
K12302	528118at2759	2
K12302	619250at2759	63
K12302	850873at2759	1
K16713		
K05731	11024at2759	1
K05731	34437at2759	20
K05731	534350at2759	4
K25483		
K03539	1197518at2759	21
K04146	384993at2759	22
K01192	1135904at2759	107
K01192	517710at2759	21
K01192	653343at2759	32
K01192	964130at2759	45
K12787		
K01689	1097401at2759	12
K01689	773373at2759	62
K10789	276568at2759	86
K15236		
K00950	1209962at2759	8
K06063	1292519at2759	39
K06063	1455730at2759	20
K04360	206803at2759	3
K04360	295510at2759	29
K04360	471114at2759	38
K05511	1575018at2759	95
K21141	1240091at2759	6
K15062		
K13337	1282367at2759	24
K13337	194195at2759	102
K13337	724242at2759	71
K01784	303420at2759	2
K01784	662484at2759	76
K15619	687721at2759	10
K06375		
K15580		
K03894		
K10375	1576041at2759	47
K05226	1524113at2759	9
K05226	1589970at2759	7
K01934	1137978at2759	13
K01934	1425233at2759	18
K05677	309052at2759	68
K15551		
K06698	1251022at2759	28
K06698	914272at2759	20
K01000	1301087at2759	3
K13071	1199207at2759	44
K13071	1458334at2759	12
K13071	405030at2759	41
K13071	528118at2759	2
K22332		
K13577	1013743at2759	35
K13577	1053600at2759	1
K13577	1115196at2759	22
K13577	1126848at2759	35
K13577	892773at2759	42
K13577	945010at2759	37
K13577	984118at2759	51
K13577	997598at2759	1
K01848		
K17488		
K25589		
K14461	731120at2759	32
K16118		
K15230		
K01549	1582985at2759	2
K13649	1224404at2759	15
K13649	1534387at2759	20
K13649	1600045at2759	1
K02796		
K10131	1636703at2759	7
K04649	1129766at2759	2
K04649	1312430at2759	2
K04649	1418652at2759	30
K04649	1574301at2759	1
K24231		
K22265	114368at2759	395
K03363	1220675at2759	80
K03363	253180at2759	9
K03363	420441at2759	1
K03363	948748at2759	2
K12751	1424914at2759	31
K12751	1470794at2759	97
K10413	16667at2759	3
K10413	2079at2759	49
K10413	26380at2759	36
K11616		
K06085	670972at2759	1
K06085	753479at2759	20
K19620		
K12750	1470794at2759	97
K12750	651627at2759	117
K01061		
K05065	144839at2759	64
K12672	1542450at2759	4
K12672	1548456at2759	25
K12672	963174at2759	70
K01199	1142019at2759	4
K01199	1247931at2759	5
K01199	966331at2759	164
K19725		
K05227	1264335at2759	26
K01205	1390181at2759	61
K01205	308083at2759	19
K01205	584128at2759	17
K01205	752680at2759	65
K18522		
K08110	611422at2759	40
K02147	395992at2759	1
K02147	541116at2759	34
K03110	804839at2759	26
K04575	1062377at2759	393
K04575	1309439at2759	228
K04575	37470at2759	45
K05055	783799at2759	8
K15065		
K23157		
K25007		
K00578		
K04298	15873at2759	18
K04298	971778at2759	16
K10648	1510545at2759	89
K10648	165920at2759	8
K10648	740493at2759	6
K19221		
K18463	1204639at2759	163
K18463	1425330at2759	15
K18463	1446665at2759	11
K18463	1588490at2759	1
K03993	1314811at2759	1072
K03993	156878at2759	41
K06281		
K13019		
K17895	1240204at2759	21
K17895	554577at2759	2
K17895	814291at2759	1
K04303	1015751at2759	6
K04303	1123658at2759	46
K04303	1136752at2759	30
K02708	1637060at2759	4
K02437	1348095at2759	34
K14760	386992at2759	45
K20012	749511at2759	40
K02373	1619689at2759	40
K01029		
K04432	688282at2759	158
K17119		
K16995		
K05992		
K01703	265826at2759	13
K00096		
K16837	1496659at2759	9
K16837	1633942at2759	14
K06661	135940at2759	1
K06661	487297at2759	1
K15950		
K11221	327469at2759	62
K02910	1547011at2759	34
K04436	324912at2759	31
K05382		
K20694	1363978at2759	1
K02713	1506855at2759	4
K02713	1638606at2759	4
K07593	430696at2759	343
K14127		
K12363	355412at2759	35
K12363	98339at2759	10
K02744		
K15063		
K17744	1085241at2759	13
K15476		
K11725	982374at2759	58
K07250		
K21169		
K08803	1011028at2759	127
K08803	1115202at2759	175
K08803	1510589at2759	71
K08803	1514637at2759	164
K08803	155338at2759	1
K08803	63138at2759	7
K08803	67579at2759	15
K08803	707272at2759	12
K08803	813445at2759	26
K07405		
K06273		
K01694		
K09674	1330889at2759	118
K22457		
K05046		
K12095		
K05058	331447at2759	24
K21383		
K06491	129648at2759	25
K06491	964418at2759	8
K03723		
K03895		
K05760	155365at2759	3
K05760	1593918at2759	93
K05760	642235at2759	99
K05760	664201at2759	3
K02141	1610846at2759	3
K02463		
K04309	340670at2759	31
K04309	826997at2759	952
K21063		
K18661		
K12902		
K13344	1085263at2759	16
K13344	1247255at2759	1
K13344	1414461at2759	24
K13344	1416674at2759	4
K13344	1617104at2759	1
K11783		
K10560		
K09882		
K15728	866929at2759	45
K12396	237832at2759	1
K12396	598949at2759	22
K02447	1371173at2759	1
K00760	1363082at2759	2
K00760	1537610at2759	27
K18429		
K06667	1312056at2759	3
K21075		
K24106		
K12677		
K00972	727785at2759	2
K00972	888726at2759	45
K10407	113584at2759	50
K10407	511880at2759	34
K10407	94736at2759	60
K01141		
K11149	1313182at2759	101
K25331		
K01800	1231780at2759	156
K01800	1283865at2759	43
K04141	750855at2759	40
K25660		
K17908	1216824at2759	39
K17908	966922at2759	42
K14153	1245353at2759	8
K08281		
K05240	122881at2759	113
K05240	1552376at2759	7
K03147	394937at2759	4
K15884		
